,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
7643,700.0825348165235,361.0412674082618,339.0412674082618,176.23535333021573,-48.1100755930255,60.72467306212039,300.0,200.0,84.375,33.536711048569714,0.006210944461684442,315.0,117.5,1267.5,100296.76545872,0.4497751124437732,20010.0
7644,686.427142690176,259.213571345088,427.213571345088,177.25596043035694,-37.67157479430742,63.28490496033031,160.0,120.0,90.0,46.946547114143485,0.010003906068395385,250.0,152.5,1392.5,65570.07001037,-0.5970149253731294,20100.0
7645,558.4741116049336,283.2370558024668,275.2370558024668,166.46292086003814,-38.77169149170098,57.86834018517139,113.33333333333212,226.66666666667152,50.0,54.532754010695214,0.0030838938961220697,235.0,220.0,1340.0,84915.11635196,1.0010010010010006,19980.0
7646,471.85685211563396,29.928426057816978,441.928426057817,172.06423833787994,-26.536299211087368,63.47884283126639,353.3333333333321,266.6666666666715,80.43478260869566,66.25607416879798,0.010148873502918555,225.0,220.0,1540.0,127877.0370947,-0.4459861248761188,20180.0
7647,488.24401913572365,133.12200956786182,355.1220095678618,167.31240173689366,-25.03050864965894,59.630624055622725,140.0,180.0,60.86956521739131,73.1358695652174,0.0011565985055450251,190.0,220.0,1450.0,76606.46879707,0.1493280238924921,20090.0
7648,516.8107326022873,134.40536630114366,382.40536630114366,164.07592118926186,-22.613591357832604,60.49042232960406,160.0,120.0,51.61290322580645,66.5834502103787,0.006312886215132174,120.0,235.0,1495.0,61127.54996857,-0.29821073558647937,20120.0
7649,522.2855753529875,205.14278767649375,317.14278767649375,154.8840812024937,-25.444345075680644,57.83724189186237,113.33333333333212,166.66666666667152,32.25806451612903,55.03506311360451,-0.0020240148466979745,155.0,245.0,1445.0,52902.82283556,-0.5483549351944172,20060.0
7650,455.6021656367666,295.8010828183833,159.8010828183833,137.1425076379055,-34.54873491221508,53.22783457868828,100.0,160.0,5.88235294117647,46.2115337018398,-0.005723126527640576,125.0,307.5,1372.5,97673.51776095,0.05012531328321135,19950.0
7651,409.14001949837984,272.5700097491899,136.57000974918992,122.47725760709727,-39.37118795441867,53.58994547134269,86.66666666666788,133.33333333332848,11.11111111111111,32.3467994023229,-0.004476643641653566,55.0,307.5,1357.5,42371.51684625,0.4008016032064132,19960.0
7652,300.1925308116988,159.0962654058494,141.0962654058494,115.97340350766171,-36.7000336430834,56.491951976446245,113.33333333333212,66.66666666667152,45.83333333333333,29.339553025511304,-0.00025771350341977604,95.0,307.5,1362.5,33965.90079508,-0.7485029940119792,20040.0
7653,360.27150255763263,327.1357512788163,33.135751278816315,97.59034512767903,-44.066473618452875,50.158806650811194,133.33333333333212,206.66666666667152,9.67741935483871,20.952456251317752,-0.004188205072720519,45.0,307.5,1212.5,50645.60278424,-0.35193564605329186,19890.0
7654,438.76594621180266,408.3829731059013,30.38297310590133,76.49147779147825,-52.13227276372294,47.483537957800486,120.0,140.0,17.24137931034483,17.94911921016091,-0.008081032348792294,-25.0,307.5,1097.5,70259.34965694,0.25227043390514403,19820.0
7655,472.4592868992622,364.2296434496311,108.22964344963111,63.0779324107898,-52.4366545155291,49.55325057375293,106.66666666666788,93.33333333332848,35.714285714285715,23.91550576478276,-0.008482292889173083,-110.0,307.5,1127.5,35549.35761855,-0.7045797684952171,19870.0
7656,505.9819935307605,475.99099676538026,29.99099676538026,40.681816429783794,-59.86621639722809,44.28990321836451,200.0,280.0,15.789473684210526,24.851178279402642,-0.011011984385673178,-140.0,325.0,930.0,131300.32578345,-0.3547896604156109,19730.0
7657,585.1495535327631,542.5747767663815,42.57477676638155,17.08734588706284,-66.76854955195924,41.893858427602176,186.66666666666788,173.33333333332848,21.27659574468085,19.939830761672148,-0.011748548181757678,-140.0,360.0,895.0,127131.13519977,0.20345879959309254,19660.0
7658,557.7096018535085,446.85480092675425,110.85480092675425,1.5978051953388785,-65.80647219494656,43.76598800617131,200.0,120.0,40.0,26.004346890704408,-0.01412481142858576,-195.0,360.0,935.0,85563.96043098,0.050761421319789335,19700.0
7659,517.7901762937108,381.8950881468554,135.89508814685541,-9.758362642285647,-61.730112026056865,44.24958839039359,146.66666666666788,113.33333333332848,42.857142857142854,31.127499600064017,-0.007004751103995399,-200.0,375.0,900.0,47789.5654554,0.20294266869609334,19710.0
7660,498.90546866743534,312.4527343337177,186.45273433371767,-15.353555533391045,-53.86024393372981,46.24109900057831,140.0,120.0,54.285714285714285,34.84178531434973,-0.0024485567325460145,-200.0,410.0,935.0,50647.22086174,-0.35443037974683955,19750.0
7661,477.4934554521242,343.7467277260621,133.7467277260621,-25.14632995766442,-50.92241468640255,43.32441118464054,100.0,120.0,50.0,41.683890577507626,-0.007164894511206809,-145.0,440.0,760.0,41737.92551785,0.8638211382113736,19680.0
7662,336.8877162096396,84.44385810481981,252.4438581048198,-18.97091014810576,-35.797595901475106,51.35005241456286,260.0,140.0,96.66666666666667,56.76190476190478,0.004373622975797842,-190.0,492.5,982.5,68460.27013622,-0.45340050377833396,19850.0
7663,288.47491706800065,137.23745853400033,151.23745853400033,-21.095912745771784,-30.338078799312903,47.51400790364188,93.33333333333212,146.66666666667152,58.333333333333336,60.428571428571445,-0.00022490246212196756,-180.0,480.0,855.0,35616.10836672,-0.3542510121457454,19760.0
7664,281.5828277585533,190.79141387927666,90.79141387927666,-28.10443714284338,-29.8772825571076,44.716018365161915,146.66666666666788,173.33333333332848,26.08695652173913,57.0745341614907,-0.0033912331953648844,-180.0,507.5,807.5,39603.59596667,-0.3047232097511454,19690.0
7665,245.99909665519954,208.99954832759977,36.99954832759977,-38.061492586217355,-31.86747040038526,42.410665537865405,86.66666666666788,133.33333333332848,8.0,47.81739130434785,-0.009373596809990236,-205.0,502.5,737.5,65320.7338911,0.45848191543556016,19630.0
7666,245.3115932388755,117.65579661943775,127.65579661943775,-38.2493680180778,-25.64427666579656,46.83808655992433,160.0,140.0,44.0,46.61739130434785,-0.002476923687140054,-205.0,495.0,820.0,33868.66588535,-0.40567951318458695,19720.0
7667,254.41872747206799,200.209363736034,54.20936373603399,-44.3424400171898,-25.389878931926845,43.627383846342916,153.33333333333212,166.66666666667152,24.137931034482758,32.11164417791107,-0.00419448394896077,-200.0,542.5,787.5,75099.91814849,0.2545824847250522,19640.0
7668,255.63863383833086,149.81931691916543,105.81931691916543,-44.62228343510287,-20.53577787987193,46.11363249243787,106.66666666666788,53.33333333332848,54.54545454545454,31.354068420335306,-0.0012953368663171092,-200.0,537.5,827.5,37186.03421276,-0.0507872016251909,19690.0
7669,258.8521671612252,158.4260835806126,100.42608358061261,-45.13073872338282,-16.835386534521497,45.679707798597185,73.33333333333212,86.66666666667152,52.38095238095239,36.612867592177956,-0.0020253148821538056,-200.0,537.5,817.5,39691.92442762,0.20325203252031798,19680.0
